Date_wise,Flight_No,Airlines_Name,Arrival/Departure,Departure_City_Code,Departure_City,Departure_Airport,Departure_Date,Departure_time_scheduled,Departure_time_Actual,Departure_terminal,Arrival_City_Code,Arrival_City,Arrival_Airport,Arrival_Date,Arrival_time_scheduled,Arrivial_time_Actual,Arrival_terminal,Flight_Status,Flight_Time_status,Flight_delay_by_time,Flight_time,Flight_distance,Aircraft_equipment_code,Aircraft_equipment_description
24-06-2022,BZ 403,Blue Dart Aviation,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,03:50 IST,04:15 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,06:30 IST,06:31 IST,,Arrived,On time,,2h 16m,1062 mi,75C,Boeing 757-200 Freighter
24-06-2022,6E 2048,IndiGo,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,03:50 IST,03:36 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,06:40 IST,06:18 IST,1,Arrived,On time,,2h 42m,1062 mi,,
24-06-2022,AA 7140,American Airlines,Arrival,DEL,Delhi,Indira Gandhi International Airport,24-06-2022,03:50 IST,03:36 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,06:40 IST,06:18 IST,1,Arrived,On time,,2h 42m,1062 mi,32Q,Airbus A321neo
24-06-2022,BZ 201,Blue Dart Aviation,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,05:10 IST,05:21 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,06:45 IST,06:38 IST,,Arrived,On time,,1h 17m,518 mi,75V,Boeing 757-200 Freighter (winglets)
24-06-2022,6E 702,IndiGo,Arrival,COK,Kochi,Cochin International Airport,24-06-2022,05:45 IST,05:39 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,06:45 IST,06:40 IST,1,Arrived,On time,,1h 1m,229 mi,32N,Airbus A320neo
24-06-2022,6E 6422,IndiGo,Arrival,AMD,Ahmedabad,Ahmedabad Airport,24-06-2022,04:30 IST,04:07 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,06:50 IST,06:16 IST,1,Arrived,On time,,2h 9m,759 mi,32N,Airbus A320neo
24-06-2022,ET 690,Ethiopian Airlines,Arrival,ADD,Addis Ababa,Addis Ababa Bole International Airport,23-06-2022,23:00 EAT,23:05 EAT,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:10 IST,07:52 IST,,Arrived,Delayed,42m,6h 17m,2652 mi,7S8,Boeing 737-800 (Scimitar Winglets) Passenger
24-06-2022,6E 839,IndiGo,Arrival,JAI,Jaipur,Jaipur Airport,24-06-2022,05:15 IST,05:12 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:35 IST,07:39 IST,1,Arrived,On time,,2h 27m,949 mi,32N,Airbus A320neo
24-06-2022,WY 281,Oman Air,Arrival,MCT,Muscat,Muscat International Airport,24-06-2022,02:30 +04,02:30 +04,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:40 IST,07:40 IST,,Arrived,On time,,3h 40m,1460 mi,7M8,Boeing 737MAX 8 Passenger
24-06-2022,G8 317,Go First,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,06:00 IST,05:52 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:40 IST,07:32 IST,,Arrived,On time,,1h 40m,518 mi,,
24-06-2022,W2 8999,FlexFlight,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,06:00 IST,05:52 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:40 IST,07:32 IST,,Arrived,On time,,1h 40m,518 mi,32N,Airbus A320neo
24-06-2022,UK 845,Vistara,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,06:00 IST,05:50 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:50 IST,07:26 IST,,Arrived,On time,,1h 36m,518 mi,32N,Airbus A320neo
24-06-2022,AI 603,Air India,Arrival,BOM,Mumbai,Chhatrapati Shivaji International Airport,24-06-2022,06:10 IST,06:10 IST,2,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,07:50 IST,07:31 IST,,Arrived,On time,,1h 21m,518 mi,319,Airbus A319
24-06-2022,6E 771,IndiGo,Arrival,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,24-06-2022,05:40 IST,05:27 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:05 IST,07:45 IST,1,Arrived,On time,,2h 18m,960 mi,32N,Airbus A320neo
24-06-2022,6E 701,IndiGo,Arrival,IDR,Indore,Devi Ahilya Bai Holkar Airport,24-06-2022,06:10 IST,05:58 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:05 IST,07:48 IST,1,Arrived,On time,,1h 50m,670 mi,32N,Airbus A320neo
24-06-2022,I5 1982,AirAsia India,Arrival,COK,Kochi,Cochin International Airport,24-06-2022,07:05 IST,07:00 IST,1,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:10 IST,07:57 IST,,Arrived,On time,,57m,229 mi,320,Airbus A320
24-06-2022,6E 413,IndiGo,Arrival,HYD,Hyderabad,Rajiv Gandhi International Airport,24-06-2022,07:00 IST,06:56 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:15 IST,08:00 IST,1,Arrived,On time,,1h 4m,283 mi,32N,Airbus A320neo
24-06-2022,I5 819,AirAsia India,Arrival,GOI,Goa,Dabolim Airport,24-06-2022,07:10 IST,07:04 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:15 IST,08:11 IST,,Arrived,On time,,1h 7m,300 mi,320,Airbus A320
24-06-2022,SG 516,SpiceJet,Arrival,CCU,Kolkata,Netaji Subhas Chandra Bose Airport,24-06-2022,06:00 IST,06:10 IST,,BLR,Bengaluru,Kempegowda International Airport,24-06-2022,08:25 IST,08:52 IST,,Arrived,Delayed,27m,2h 42m,960 mi,73H,Boeing 737-800 (winglets) Passenger/BBJ2
